資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220408,0057,15,1,2943000,65.00
20220408,0057,16,0,0,0.00
20220408,0057,17,202,4527000,100.00
20220408,0061,1,485,136537,0.10
20220408,0061,2,4722,11053961,8.24
20220408,0061,3,1132,9505627,7.08
20220408,0061,4,384,5049147,3.76
20220408,0061,5,308,5844918,4.35
20220408,0061,6,280,7323093,5.46
20220408,0061,7,138,5128175,3.82
20220408,0061,8,112,5327070,3.97
20220408,0061,9,203,15142229,11.29
20220408,0061,10,84,12034558,8.97
20220408,0061,11,43,11937311,8.90
20220408,0061,12,14,7135000,5.32
20220408,0061,13,7,4746000,3.53
20220408,0061,14,3,2767000,2.06
20220408,0061,15,8,30985374,23.10
20220408,0061,16,0,0,0.00
20220408,0061,17,7923,134116000,100.00
20220408,006201,1,330,77159,0.46
20220408,006201,2,1252,2588444,15.73
20220408,006201,3,197,1618978,9.84
20220408,006201,4,54,702109,4.26
20220408,006201,5,34,635476,3.86
20220408,006201,6,22,560498,3.40
20220408,006201,7,11,386000,2.34
20220408,006201,8,4,197000,1.19
20220408,006201,9,5,385000,2.34
20220408,006201,10,3,402000,2.44
20220408,006201,11,4,1112780,6.76
20220408,006201,12,1,476000,2.89
20220408,006201,13,1,663556,4.03
20220408,006201,14,1,886000,5.38
20220408,006201,15,1,5755000,34.99
20220408,006201,16,0,0,0.00
20220408,006201,17,1920,16446000,100.00
20220408,006203,1,405,71622,0.61
20220408,006203,2,309,491806,4.19
20220408,006203,3,21,170572,1.45
20220408,006203,4,2,27000,0.23
20220408,006203,5,4,74000,0.63
20220408,006203,6,1,25000,0.21
20220408,006203,7,2,68000,0.58
20220408,006203,8,2,97000,0.82
20220408,006203,9,0,0,0.00
20220408,006203,10,2,326000,2.78
20220408,006203,11,1,377000,3.21
20220408,006203,12,1,490000,4.18
20220408,006203,13,0,0,0.00
20220408,006203,14,0,0,0.00
20220408,006203,15,3,9500000,81.07
20220408,006203,16,0,0,0.00
20220408,006203,17,753,11718000,100.00
20220408,006204,1,871,124222,8.28
20220408,006204,2,358,564848,37.65
20220408,006204,3,12,96992,6.46
20220408,006204,4,1,15000,1.00
20220408,006204,5,1,20000,1.33
20220408,006204,6,1,30000,2.00
20220408,006204,7,1,39000,2.60
20220408,006204,8,0,0,0.00
20220408,006204,9,1,69000,4.60
20220408,006204,10,0,0,0.00
20220408,006204,11,2,540938,36.06
20220408,006204,12,0,0,0.00
20220408,006204,13,0,0,0.00
20220408,006204,14,0,0,0.00
20220408,006204,15,0,0,0.00
20220408,006204,16,0,0,0.00
20220408,006204,17,1248,1500000,100.00
20220408,006205,1,4873,1818541,1.29
20220408,006205,2,7316,16481603,11.69
20220408,006205,3,1494,11156835,7.91
20220408,006205,4,441,5622619,3.99
20220408,006205,5,282,5159145,3.66
20220408,006205,6,232,5999432,4.25
20220408,006205,7,125,4491095,3.18
20220408,006205,8,61,2850609,2.02
20220408,006205,9,143,10410891,7.38
20220408,006205,10,61,8619250,6.11
20220408,006205,11,19,5585787,3.96
20220408,006205,12,6,2804000,1.98
20220408,006205,13,6,4234628,3.00
20220408,006205,14,2,1720000,1.22
20220408,006205,15,17,53954565,38.29
20220408,006205,16,0,0,0.00
20220408,006205,17,15078,140909000,100.00
20220408,006206,1,1003,331966,0.87
20220408,006206,2,2484,5727834,15.16
20220408,006206,3,532,4220023,11.17
20220408,006206,4,202,2605427,6.89
20220408,006206,5,121,2233997,5.91
20220408,006206,6,112,2948563,7.80
20220408,006206,7,56,2036139,5.38
20220408,006206,8,35,1654583,4.37
20220408,006206,9,64,4657660,12.32
20220408,006206,10,20,2928477,7.75
20220408,006206,11,8,2661331,7.04
20220408,006206,12,2,1009000,2.67
20220408,006206,13,0,0,0.00
20220408,006206,14,1,878000,2.32
20220408,006206,15,1,3885000,10.28
20220408,006206,16,0,0,0.00
